AccX,AccY,AccZ,AngX,AngY,AngZ,class
-2.59,-1.6,0.72,-21.27,35.75,14.35,VibracaoX
-1.14,-0.03,0.72,-17.81,28.36,21.05,VibracaoX
1.52,0.14,0.46,-18.37,33.42,19.89,VibracaoX
-1.15,-0.27,1.74,-15.97,32.13,20.46,VibracaoX
0.46,0.27,0.38,-14.37,30.84,22.42,VibracaoX
-0.11,-0.11,1.23,-13.99,33.65,22.39,Noise
-0.25,0.05,0.88,-13.89,33.42,22.63,Noise
0.09,0.05,1.02,-13.51,34.39,23.21,Noise
-0.25,0.06,0.8,-13.21,33.13,23.74,Noise
-0.02,-0.08,1.17,-13.69,34.79,23.71,Noise
-0.02,0.0,0.96,-13.77,31.86,22.59,Noise
-0.25,0.07,0.78,-13.55,32.86,22.26,Noise
-0.19,-0.05,1.2,-14.54,31.7,22.92,Noise
0.02,-0.05,1.15,-13.34,31.16,23.99,Noise
0.04,0.1,0.83,-12.54,29.65,23.51,Noise
-0.16,0.03,0.89,-11.66,27.86,23.37,Noise
-0.04,0.0,0.74,-11.68,25.98,23.18,Noise
-0.1,-0.04,1.01,-11.49,26.19,23.34,Noise
-0.18,0.02,1.0,-11.12,25.34,23.32,Noise
0.09,0.07,0.92,-10.97,24.28,23.62,Noise
-0.1,-0.01,1.05,-10.77,23.56,23.62,Noise
0.01,0.02,0.98,-10.9,23.61,23.56,Noise
-0.11,-0.02,1.04,-10.51,23.66,23.5,Noise
-0.02,0.06,0.9,-10.27,22.42,23.53,Noise
-0.02,-0.03,1.07,-9.9,21.78,23.63,Noise
-0.04,0.04,0.94,-10.07,21.64,23.74,Noise
-0.01,0.01,1.04,-9.84,20.87,23.86,Noise
-0.04,0.07,0.86,-9.73,20.78,23.94,Noise
-0.02,-0.0,1.02,-9.64,20.21,23.91,Noise
-0.02,0.06,0.89,-9.62,20.11,24.03,Noise
-0.02,0.02,0.91,-9.49,19.43,24.03,Noise
-0.06,0.04,0.9,-9.14,19.6,24.23,Noise
-0.01,0.0,0.86,-9.5,18.52,23.72,Noise
0.02,-0.01,0.94,-9.46,18.56,23.35,Noise
-0.16,-0.05,1.04,-9.81,18.28,23.28,Noise
-0.09,0.06,0.75,-10.57,15.56,22.83,Noise
