AccX,AccY,AccZ,AngX,AngY,AngZ,class
-0.02,-0.03,0.89,0.52,11.61,-16.26,Parado
-0.04,-0.07,0.98,0.54,9.72,-15.94,Parado
0.01,-0.04,0.88,0.43,9.86,-15.71,Parado
0.02,-0.1,1.16,-0.04,9.89,-15.55,Parado
0.0,-0.03,0.87,-0.55,10.74,-15.46,Parado
0.01,-0.06,0.97,-0.85,10.28,-15.53,Parado
-0.06,-0.06,1.04,-0.47,9.77,-15.1,Parado
0.01,-0.05,0.94,-0.6,9.82,-14.91,Parado
-0.05,-0.06,0.96,-0.79,9.66,-14.76,Parado
0.03,-0.09,1.05,-1.12,7.85,-14.89,Parado
0.1,-0.08,0.96,-1.51,8.58,-14.76,CirculoZ
0.16,-0.09,0.87,-1.77,9.66,-15.1,CirculoZ
0.22,-0.11,1.02,-1.56,9.29,-16.41,CirculoZ
0.08,-0.09,1.14,-1.85,10.25,-18.33,CirculoZ
0.0,-0.08,1.19,-1.04,9.91,-20.25,CirculoZ
-0.13,-0.05,1.15,-0.73,9.48,-22.99,CirculoZ
0.04,-0.09,1.11,-0.15,10.49,-25.98,CirculoZ
-0.16,0.02,1.05,1.46,11.7,-28.73,CirculoZ
-0.2,-0.02,1.13,5.39,12.78,-30.48,CirculoZ
-0.23,0.06,0.84,8.07,13.32,-31.17,CirculoZ
-0.33,0.03,1.11,11.16,15.69,-31.07,CirculoZ
-0.43,0.1,0.84,13.28,13.16,-31.06,CirculoZ
-0.28,0.09,0.97,16.14,15.88,-28.45,CirculoZ
-0.22,0.23,0.69,18.93,15.31,-25.94,CirculoZ
-0.31,0.31,0.68,19.92,17.68,-22.81,CirculoZ
0.01,0.3,0.59,22.93,16.88,-19.88,CirculoZ
0.01,0.3,0.74,22.23,18.99,-16.94,CirculoZ
-0.08,0.35,0.68,21.98,19.35,-14.51,CirculoZ
-0.14,0.42,0.66,21.0,19.15,-11.48,CirculoZ
0.02,0.35,0.74,19.83,19.36,-9.15,CirculoZ
0.05,0.29,0.91,17.31,19.0,-6.8,CirculoZ
0.28,0.19,0.76,15.08,18.44,-5.49,CirculoZ
0.07,0.19,0.95,12.74,16.53,-4.76,CirculoZ
0.06,0.12,0.93,11.48,14.55,-4.35,CirculoZ
-0.01,0.2,0.72,9.75,12.93,-3.3,CirculoZ
0.0,0.14,1.17,7.6,11.34,-4.06,CirculoZ
0.08,0.08,1.17,4.41,12.13,-3.56,CirculoZ
0.1,0.05,1.12,2.5,12.0,-3.64,CirculoZ
0.16,0.03,1.02,1.38,11.98,-3.83,CirculoZ
0.01,0.02,1.0,0.8,12.02,-4.96,CirculoZ
0.06,0.0,1.0,0.28,12.82,-5.42,CirculoZ
-0.06,0.02,1.08,-0.88,12.26,-6.12,CirculoZ
0.17,-0.01,0.83,-1.3,11.96,-6.63,CirculoZ
-0.03,0.03,1.2,-1.69,7.1,-7.55,CirculoZ
0.15,-0.09,1.08,-3.6,8.32,-8.25,CirculoZ
-0.01,0.03,0.94,-4.44,8.83,-8.52,Parado
0.21,-0.06,0.78,-4.05,8.01,-9.67,Parado
0.07,-0.04,1.05,-4.78,9.02,-10.86,Parado
0.02,-0.03,0.99,-5.12,9.24,-11.9,Parado
0.07,-0.03,0.92,-5.46,9.58,-12.49,Parado
0.02,-0.02,0.91,-5.48,9.9,-13.19,Parado
0.05,-0.08,1.05,-5.54,9.3,-13.85,Parado
-0.01,-0.0,0.92,-4.41,8.67,-14.55,Parado
-0.07,0.03,1.08,-4.92,9.75,-14.9,Parado
0.08,-0.04,0.83,-4.98,8.75,-15.15,Parado
0.08,-0.08,1.16,-5.35,9.18,-15.42,Parado
-0.02,-0.02,0.92,-4.82,8.31,-15.58,Parado
