AccX,AccY,AccZ,AngX,AngY,AngZ,class
0.39,0.34,0.65,5.74,-7.82,23.2,VibracaoY
1.14,4.49,1.34,-1.83,-5.54,18.79,VibracaoY
0.68,-0.05,1.05,4.19,-0.66,2.42,VibracaoY
-0.34,-4.5,0.8,-3.63,-3.65,2.17,VibracaoY
0.26,0.05,0.46,-3.06,-11.17,17.55,VibracaoY
0.9,4.01,1.52,-5.95,-10.04,17.49,VibracaoY
0.9,0.24,1.34,0.15,-6.51,2.52,VibracaoY
-0.37,-5.31,0.93,-2.99,-3.7,2.87,VibracaoY
0.41,0.2,0.34,-2.57,-12.43,19.49,VibracaoY
0.92,4.8,1.62,-3.48,-12.09,18.35,VibracaoY
0.93,-0.33,0.99,-2.38,-7.26,0.01,VibracaoY
-0.4,-5.51,1.14,-1.26,-6.28,4.34,VibracaoY
0.49,0.95,0.69,-1.88,-12.04,23.48,VibracaoY
1.06,4.59,1.42,-1.32,-9.14,19.58,VibracaoY
0.88,-0.52,1.23,-3.71,-5.37,0.81,VibracaoY
-0.29,-5.73,0.95,-1.53,-6.02,6.76,VibracaoY
0.66,1.16,0.64,-0.61,-11.7,27.05,VibracaoY
1.31,5.46,1.15,-1.37,-13.48,21.23,VibracaoY
0.84,-2.58,1.5,-2.73,-6.86,-0.27,VibracaoY
0.01,-4.58,0.19,2.11,-4.73,14.51,VibracaoY
1.52,6.79,0.72,0.74,-10.59,28.75,VibracaoY
1.95,1.83,1.16,5.29,-6.63,3.79,VibracaoY
-0.48,-8.13,1.36,2.82,-4.24,8.29,VibracaoY
1.22,5.71,0.22,1.97,-10.17,26.82,VibracaoY
1.97,1.87,0.73,-3.07,-10.06,1.97,VibracaoY
0.05,-7.39,1.06,-1.52,-3.0,10.43,VibracaoY
0.79,7.07,0.81,-0.76,-9.02,21.76,VibracaoY
1.25,-2.03,1.35,-1.75,-10.13,-3.17,VibracaoY
0.43,-5.82,-1.26,-0.89,-6.9,12.93,VibracaoY
1.49,8.58,1.94,4.64,-14.7,21.19,VibracaoY
0.12,-6.3,1.45,-0.13,-20.51,-0.66,VibracaoY
0.35,-2.57,-0.34,2.38,-16.15,24.12,VibracaoY
1.95,8.6,0.77,2.79,-9.33,9.03,VibracaoY
0.14,-10.25,2.12,-5.83,-16.07,5.04,VibracaoY
1.87,4.85,-0.39,-1.25,-9.71,34.22,VibracaoY
2.65,2.99,-0.88,-4.79,-15.45,1.92,VibracaoY
-0.31,-6.98,2.48,-5.28,-7.44,15.92,VibracaoY
1.06,5.85,-0.88,2.87,-6.04,17.25,VibracaoY
0.58,-5.72,5.05,12.74,-13.92,3.67,VibracaoY
0.05,1.3,0.65,-1.25,-9.61,16.42,VibracaoY
0.29,1.85,0.29,-0.51,-11.61,12.79,VibracaoY
0.09,-0.95,2.0,2.38,-10.27,7.59,VibracaoY
-0.31,0.58,0.75,0.1,-8.55,8.75,VibracaoY
-0.11,0.05,0.73,1.89,-8.01,7.85,VibracaoY
-0.09,0.19,0.98,2.48,-8.76,6.86,VibracaoY
-0.14,0.2,1.05,4.39,-8.82,7.99,Parado
-0.16,-0.07,0.88,3.67,-8.83,7.45,Parado
-0.16,0.21,0.88,5.82,-9.45,8.62,Parado
-0.06,0.31,1.04,5.58,-9.65,9.78,Parado
-0.04,0.23,0.93,6.25,-9.87,10.37,Parado
-0.06,0.23,0.94,4.78,-8.5,9.44,Parado
-0.11,0.2,0.92,5.66,-8.94,9.41,Parado
-0.09,0.2,0.95,5.87,-8.29,9.45,Parado
-0.1,0.15,0.88,5.65,-8.06,9.24,Parado
-0.08,0.06,0.86,5.87,-7.58,9.13,Parado
-0.09,0.21,0.95,6.31,-8.13,9.36,Parado
-0.1,0.2,1.05,6.28,-8.95,9.8,Parado
