AccX,AccY,AccZ,AngX,AngY,AngZ,class
0.13,-0.17,-0.55,-13.19,2.62,28.33,VibracaoZ
0.18,-0.1,1.48,-16.18,-9.19,30.45,VibracaoZ
0.11,0.36,3.09,-17.81,-13.6,31.14,VibracaoZ
0.14,0.2,2.95,-14.95,-9.76,29.71,VibracaoZ
0.28,-0.3,1.3,-10.51,-0.72,28.6,VibracaoZ
0.15,-0.59,-1.37,-12.96,9.77,27.81,VibracaoZ
0.3,0.12,-1.97,-9.91,4.31,29.63,VibracaoZ
0.51,0.13,0.8,-13.73,-9.9,29.85,VibracaoZ
0.14,0.16,5.18,-10.01,-14.98,31.37,VibracaoZ
0.39,0.71,2.93,-6.23,-4.64,28.91,VibracaoZ
0.32,-0.81,-1.2,-6.02,8.05,24.79,VibracaoZ
0.3,-0.21,-2.78,-13.17,3.28,26.9,VibracaoZ
0.6,-0.12,0.65,-16.86,-11.72,28.29,VibracaoZ
0.15,0.37,5.25,-15.04,-16.33,30.72,VibracaoZ
0.68,1.26,2.92,-10.47,-4.32,27.16,VibracaoZ
0.42,-1.17,-2.1,-13.75,10.22,21.65,VibracaoZ
0.45,-0.48,-2.56,-17.3,1.19,25.38,VibracaoZ
0.51,0.11,2.14,-17.2,-13.63,28.39,VibracaoZ
0.11,1.36,5.31,-13.91,-15.71,31.01,VibracaoZ
0.59,0.53,1.93,-11.63,-2.85,25.55,VibracaoZ
0.19,-1.62,-3.18,-15.21,4.13,25.17,VibracaoZ
0.49,0.11,-1.32,-13.8,-6.23,28.59,VibracaoZ
0.46,0.36,3.59,-15.58,-16.77,29.35,VibracaoZ
0.1,0.93,4.66,-11.87,-13.96,30.04,VibracaoZ
0.66,0.05,1.17,-10.35,0.22,25.42,VibracaoZ
0.07,-1.38,-3.66,-11.64,4.03,26.1,VibracaoZ
0.61,0.27,-0.81,-11.75,-10.71,30.15,VibracaoZ
0.59,0.22,4.69,-15.05,-20.83,31.42,VibracaoZ
0.36,1.06,4.15,-13.0,-11.98,30.02,VibracaoZ
0.71,-0.18,0.05,-10.72,2.58,25.05,VibracaoZ
0.14,-0.96,-3.79,-14.43,3.18,26.99,VibracaoZ
0.61,0.07,-0.18,-12.95,-13.09,29.76,VibracaoZ
0.34,0.15,5.07,-14.19,-21.29,32.36,VibracaoZ
0.44,1.63,4.09,-8.32,-13.09,30.99,VibracaoZ
0.79,-0.58,-0.64,-10.09,2.66,24.1,VibracaoZ
0.29,-0.95,-3.9,-14.4,-1.71,28.01,VibracaoZ
0.85,0.26,0.54,-16.07,-20.13,29.98,VibracaoZ
0.42,0.26,5.8,-15.72,-25.24,32.04,VibracaoZ
0.68,1.29,3.42,-13.5,-12.21,29.53,VibracaoZ
0.65,-1.0,-2.15,-15.95,5.76,23.83,VibracaoZ
0.52,-0.12,-3.34,-22.14,-5.17,27.06,VibracaoZ
0.77,0.04,2.11,-21.74,-23.89,27.65,VibracaoZ
0.27,0.51,5.64,-22.65,-20.9,27.24,VibracaoZ
0.62,0.53,1.93,-18.74,-5.34,25.11,VibracaoZ
0.42,-1.31,-3.25,-21.55,8.34,21.42,VibracaoZ
0.75,0.14,-2.02,-19.83,-8.42,24.92,VibracaoZ
0.58,-0.36,4.07,-21.06,-23.86,25.9,VibracaoZ
-0.0,0.71,2.96,-18.83,-19.34,26.12,VibracaoZ
0.02,-0.09,0.1,-20.76,-13.22,25.2,VibracaoZ
0.07,0.29,0.46,-17.22,-13.71,25.6,VibracaoZ
0.0,0.14,0.74,-17.65,-15.19,25.89,VibracaoZ
0.03,-0.04,1.06,-19.01,-15.25,25.42,VibracaoZ
0.02,0.05,1.05,-18.14,-15.87,26.31,VibracaoZ
0.06,0.22,1.07,-17.54,-16.59,26.85,VibracaoZ
0.08,0.11,0.98,-17.37,-15.99,27.02,VibracaoZ
0.07,0.18,0.99,-16.65,-16.17,26.9,VibracaoZ
0.08,0.08,1.04,-16.19,-15.44,26.49,VibracaoZ
0.04,0.04,0.95,-16.55,-15.0,25.97,VibracaoZ
0.05,0.05,0.86,-15.94,-14.8,26.16,VibracaoZ
0.06,0.07,0.91,-15.6,-14.88,26.25,VibracaoZ
0.07,0.09,0.96,-15.95,-14.74,26.24,VibracaoZ
0.07,0.12,0.96,-15.74,-14.49,26.22,VibracaoZ
0.08,0.09,0.97,-15.61,-14.13,26.07,VibracaoZ
0.05,0.07,0.99,-15.56,-13.73,26.05,VibracaoZ
0.06,0.08,0.98,-14.39,-13.32,26.27,VibracaoZ
0.06,0.1,0.94,-14.2,-12.96,26.26,VibracaoZ
0.04,0.11,0.94,-14.05,-12.9,26.16,VibracaoZ
0.06,0.04,1.0,-13.8,-12.71,26.15,VibracaoZ
0.06,0.09,0.99,-13.25,-12.52,26.11,VibracaoZ
0.06,0.1,0.92,-12.43,-12.29,26.21,VibracaoZ
0.05,0.07,0.97,-12.23,-12.03,26.11,VibracaoZ
0.06,0.09,0.96,-11.93,-11.97,26.14,VibracaoZ
0.06,0.09,0.92,-11.89,-11.75,26.18,VibracaoZ
0.06,0.09,1.03,-11.44,-11.66,26.75,VibracaoZ
0.08,0.09,1.34,-10.66,-12.42,27.22,VibracaoZ
0.1,0.23,1.65,-9.48,-10.58,27.22,VibracaoZ
0.1,0.21,1.12,-8.71,-5.63,26.44,VibracaoZ
-0.02,0.04,0.4,-8.73,0.88,25.05,VibracaoZ
-0.07,-0.13,-0.91,-15.62,5.74,24.63,VibracaoZ
0.08,-0.11,-0.47,-20.33,-3.97,25.43,VibracaoZ
0.42,-0.42,2.48,-19.23,-17.44,27.8,VibracaoZ
0.46,0.55,4.03,-22.68,-12.16,26.49,VibracaoZ
0.32,0.45,1.37,-16.03,-0.43,25.09,VibracaoZ
0.42,-0.2,-1.33,-20.91,11.31,18.13,VibracaoZ
0.09,-0.14,-2.42,-26.74,2.51,20.19,VibracaoZ
0.53,0.17,2.53,-23.86,-17.36,23.32,VibracaoZ
0.45,1.04,4.91,-16.76,-14.34,23.81,VibracaoZ
0.63,0.27,0.98,-18.36,3.22,17.04,VibracaoZ
0.04,-1.33,-3.22,-23.13,10.43,15.13,VibracaoZ
0.59,0.01,-0.49,-20.67,-9.29,20.81,VibracaoZ
0.73,1.24,5.25,-16.93,-21.04,23.57,VibracaoZ
0.65,0.79,2.82,-15.66,-7.77,18.86,VibracaoZ
